Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
2.942302958E1,6.295458527E0,-3.778442688E0,2.257305908E-1
2.943307558E1,7.468269653E0,4.914280701E-1,3.994144135E0
2.944312158E1,1.076995377E1,3.131188660E0,8.426726532E0
2.945316758E1,8.673413544E0,-2.503244476E0,2.155517578E-1
2.946321358E1,5.359305267E0,2.738405457E0,1.149309998E0
2.947325958E1,1.277593231E1,7.035369873E-3,1.359922028E0
2.948330558E1,4.907844086E0,-5.498066711E-1,-7.920030212E-1
2.949335087E1,1.042566971E1,5.263055420E-1,5.186115417E0
2.950339687E1,1.225321930E1,-1.498084717E0,3.075504456E0
2.951344288E1,5.360353088E0,-2.284399567E0,1.379231873E0
2.952348888E1,9.469009094E0,-3.639232178E0,-1.136885834E0
2.953353488E1,4.807552643E0,-2.195634155E0,9.220825195E-2
2.954358088E1,5.515729980E0,1.301842804E0,3.017125854E0
2.955362688E1,1.260992752E1,1.404080200E-1,6.147566071E0
2.956367288E1,6.722520447E0,6.972500610E-1,2.595452728E0
2.957371888E1,4.433181152E0,8.084687805E-1,-1.136137390E-1
2.958376488E1,4.792883148E0,-1.608405304E0,-1.338815918E0
2.959381088E1,4.039050751E0,2.859054565E0,2.606679382E0
2.960385687E1,7.510781250E0,1.026864624E0,4.215234375E0
2.961390287E1,6.522236938E0,-1.848655701E0,-1.463955688E-1
2.962394887E1,2.701282654E0,6.942562866E-1,2.136058044E-1
2.963399488E1,5.756279755E0,-2.363435211E0,-3.567381592E0
2.964404088E1,2.551593933E0,1.228046265E0,-2.691552887E0
2.965408688E1,5.556744690E0,4.382436676E0,4.592449951E-1
2.966413288E1,1.100795883E1,-1.400637360E0,-8.684939575E-1
2.967417888E1,7.997868347E0,1.237326965E0,-1.749711456E0
2.968422488E1,9.815837860E0,4.834945679E-2,-1.817370758E0
2.969427088E1,3.804638214E0,3.679199066E0,-1.390159149E0
2.970431688E1,6.368656311E0,1.965113525E0,-2.519261169E-1
2.971436288E1,6.967860260E0,1.065184937E0,-2.290686493E0
2.972440887E1,5.910908203E0,1.885329437E0,-1.914518738E0
2.973445487E1,7.719447327E0,-1.332379303E0,-2.602488098E0
2.974450088E1,2.761008453E0,4.403842163E-1,-3.264710999E0
2.975454688E1,4.460574188E0,3.068169708E0,-2.082319794E0
2.976459288E1,8.988657990E0,-8.394543457E-1,-1.562750244E0
2.977463888E1,2.381846924E0,1.615440674E0,-3.062631226E0
2.978468488E1,6.807543640E0,8.321195984E-1,-2.430645447E0
2.979473188E1,2.593357086E0,-1.307980042E0,-5.061724091E0
2.980477788E1,4.415218506E0,2.882555695E0,-3.078797607E0
2.981482388E1,6.046526184E0,3.289559326E0,-8.301736450E-1
2.982486987E1,2.598745880E0,4.833448792E-1,-6.957232361E0
2.983491587E1,2.696492615E0,4.225113831E0,-4.558919678E0
2.984496188E1,3.144960022E0,2.866838379E0,-2.975662079E0
2.985500788E1,4.070036316E0,1.286275177E0,-4.618944855E0
2.986505388E1,4.629722443E0,2.076931000E0,-2.631827087E0
2.987509988E1,1.364712067E0,3.682941284E0,-2.459834747E0
2.988514588E1,9.607022095E-1,2.855012970E0,-7.539671173E0
