Time (s),X (rad/s),Y (rad/s),Z (rad/s)
9.897176250E0,-7.086149883E-3,1.143603004E-3,-6.798089016E-4
9.907223250E0,-9.253164753E-3,1.247199951E-3,-3.197295126E-3
9.917269250E0,-1.011999603E-2,4.799252376E-3,-5.535544362E-3
9.927315250E0,-5.801680498E-3,5.475695245E-3,3.047557315E-3
9.937361250E0,-1.089899801E-2,-2.182458556E-4,-6.098910235E-3
9.947407250E0,-7.668583188E-3,-1.572729554E-3,3.515316639E-4
9.957454250E0,-4.200251307E-3,-1.454543904E-3,-1.466737827E-3
9.967500250E0,-7.766756695E-3,5.171134602E-3,-3.013384994E-4
9.977546250E0,-1.087965257E-2,9.017655626E-3,-5.664153490E-3
9.987592250E0,-1.110761799E-2,-3.438747022E-3,-2.338398248E-3
9.997638250E0,-3.924347926E-3,8.237765171E-3,-4.483033903E-3
1.000768525E1,-9.059987962E-3,1.089799684E-2,-3.072091145E-3
1.001773125E1,-6.742649246E-3,-4.863794893E-3,-1.418351429E-3
1.002777725E1,-7.310435642E-3,1.172423642E-2,-4.057011567E-3
1.003782325E1,-3.514149226E-3,8.746985346E-3,-1.003787154E-3
1.004786925E1,-7.131254300E-3,-5.977897905E-3,-5.796145648E-3
1.005791525E1,-1.742299646E-4,1.799127646E-2,4.552086350E-3
1.006796225E1,-4.229425453E-3,-1.165130455E-2,-1.771056792E-3
1.007800825E1,-3.831742797E-3,1.013559406E-3,-5.234368145E-4
1.008805425E1,2.195257228E-3,2.224498894E-3,6.771227345E-3
1.009810025E1,6.090711802E-3,-3.841354046E-4,4.919478670E-3
1.010814625E1,2.399570309E-3,3.988339449E-4,4.610019736E-3
1.011819325E1,-1.379987691E-3,-3.700206289E-4,3.020112403E-3
1.012823925E1,5.566601641E-3,-4.633741453E-3,5.709106103E-3
1.013828525E1,3.648422658E-3,-1.143461675E-3,2.765384736E-3
1.014833125E1,-1.025158912E-3,-2.463324228E-3,1.180537627E-3
1.015837725E1,1.102610957E-3,-3.626267659E-3,-1.146944705E-4
1.016842425E1,2.096768934E-3,-4.163596604E-4,1.676281216E-3
1.017847025E1,-1.224457286E-3,-7.339800359E-4,2.748249099E-4
1.018851625E1,-2.571217716E-3,-1.539053628E-3,-3.282891819E-3
1.019856225E1,3.097462934E-3,8.446049178E-4,1.158584724E-3
1.020860825E1,2.606376074E-3,1.741024898E-3,-2.413779497E-3
1.021865525E1,-4.782636184E-3,-3.761796979E-3,-2.002782421E-3
1.022870125E1,1.388174482E-3,-2.133806702E-3,2.688940149E-4
1.023874725E1,4.209866747E-4,4.649105482E-3,-2.060542582E-3
1.024879325E1,-7.851589471E-4,2.383820713E-3,-1.555873780E-3
1.025883925E1,4.166043364E-4,3.020631848E-3,-2.645186381E-3
1.026888525E1,-1.370376907E-3,2.016087528E-3,-3.226022003E-3
1.027893225E1,2.192182234E-3,2.985404339E-3,-1.316814916E-3
1.028897825E1,3.375569358E-4,-4.239744740E-4,2.530387603E-3
1.029902425E1,-8.437731303E-4,2.636903897E-3,-9.708213620E-4
1.030907025E1,-1.860301942E-3,-4.228018806E-4,1.615374349E-3
1.031911625E1,-1.222861931E-3,-1.792241004E-3,5.248214118E-3
1.032916325E1,2.565218369E-3,2.707169857E-3,3.226076020E-3
1.033920925E1,1.895581372E-4,-7.781503955E-4,3.504132386E-3
1.034925525E1,2.457239665E-3,3.622456919E-3,6.577686407E-3
1.035930125E1,2.694600029E-3,4.112503491E-3,5.899472628E-3
1.036934725E1,8.146746550E-4,1.182942506E-4,6.025972776E-3
1.037939425E1,-7.965140976E-4,-8.753229049E-4,1.890292391E-3
1.038944025E1,1.284213737E-3,-2.739802003E-3,3.847183194E-3
1.039948625E1,1.468214439E-3,-3.773200151E-4,6.376444828E-3
1.040953225E1,-4.010582343E-4,-1.176801044E-3,5.572436377E-3
1.041957825E1,-5.797566846E-4,-3.271377180E-3,5.353790708E-3
