"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.765466333E0,7.059320068E-1,1.670975189E0,9.473200378E0
1.775487333E0,7.783813477E-1,1.066831512E0,9.868228912E0
1.785508333E0,9.262738037E-1,9.039701843E-1,9.990225220E0
1.795529333E0,1.306932220E0,9.244775391E-1,1.005743546E1
1.805550333E0,1.769320679E-1,6.926097107E-1,9.727371826E0
1.815571333E0,1.657054138E-1,7.707472229E-1,8.388705597E0
1.825593333E0,7.536827087E-1,8.461903381E-1,8.554261322E0
1.835614333E0,3.260220337E-1,4.170327759E-1,9.356892242E0
1.845635333E0,4.808001709E-1,1.071621552E0,9.440568237E0
1.855656333E0,8.508306885E-1,1.947150879E0,9.907297668E0
1.865677333E0,4.544549561E-1,1.537003784E0,1.067699707E1
1.875698333E0,8.801696777E-1,1.489702148E0,1.053658905E1
1.885719333E0,1.008602600E0,1.805395660E0,9.511820068E0
1.895740333E0,3.634442139E-1,1.301693115E0,9.053772583E0
1.905761333E0,1.040037231E0,1.303788757E0,9.032516785E0
1.915782333E0,1.107995911E0,1.190324707E0,9.468260651E0
1.925803333E0,9.651928711E-1,9.131011963E-1,9.731712799E0
1.935825333E0,1.106199646E0,9.397457886E-1,9.730365601E0
1.945846333E0,9.608518982E-1,1.289867706E0,9.714348907E0
1.955867333E0,9.286688232E-1,1.457519073E0,9.508377228E0
1.965888333E0,1.077758789E0,1.864822083E0,1.048449738E1
1.975909333E0,1.320853271E0,1.742526398E0,1.040456360E1
1.985930333E0,1.217717743E0,1.441951447E0,1.035576508E1
1.995951333E0,1.043779449E0,1.560654602E0,1.059496765E1
2.005972333E0,1.113235016E0,1.335672455E0,1.040980270E1
2.015993333E0,1.231040039E0,1.118174744E0,1.006836273E1
2.026014333E0,1.164727936E0,8.422984314E-1,9.810299377E0
2.036035333E0,9.006770325E-1,1.013991394E0,9.857002258E0
2.046056333E0,1.084644470E0,1.418749695E0,1.031400192E1
2.056078333E0,1.514999542E0,1.209784241E0,1.093805420E1
2.066099333E0,1.841021576E0,1.073567505E0,1.101963455E1
2.076120333E0,1.913620605E0,1.206790466E0,1.073058563E1
2.086141333E0,1.555565186E0,1.233584747E0,1.056907150E1
2.096162333E0,1.371448059E0,1.167422333E0,1.058538757E1
2.106183333E0,1.491199036E0,4.613406372E-1,1.107292374E1
2.116204333E0,8.746311951E-1,3.273692322E-1,9.771679688E0
2.126225333E0,6.017486572E-2,7.937992859E-1,8.441695404E0
2.136246333E0,-5.670208740E-1,6.923103333E-1,7.990084534E0
2.146267333E0,-9.827064514E-1,9.909393311E-2,7.177274780E0
2.156288333E0,-1.297801208E0,-6.256988525E-2,6.759942627E0
2.166310333E0,-1.363813934E0,-2.170486450E-1,7.211104431E0
2.176331333E0,-1.093476105E0,-1.335223389E-1,8.352480927E0
2.186352333E0,-8.937913513E-1,7.559280396E-2,9.251810760E0
2.196373333E0,-8.660989380E-1,2.544708252E-2,9.605974274E0
2.206394333E0,-8.138575745E-1,-6.616241455E-2,9.555379486E0
2.216415333E0,-6.762936401E-1,4.939727783E-3,9.452842712E0
2.226436333E0,-7.695497131E-1,2.170486450E-2,8.868308258E0
2.236457333E0,-6.396199036E-1,5.513035583E-1,1.052251831E1
2.246478333E0,-3.745211792E-1,4.957690430E-1,1.087249054E1
2.256499333E0,-2.110610962E-1,9.280700684E-3,1.031504974E1
2.266520333E0,-3.802093506E-1,-1.041833496E-1,9.934241638E0
2.276542750E0,-7.053332520E-1,1.853146362E-1,9.249864807E0
2.286563750E0,-5.721102905E-1,4.321513367E-1,9.575886841E0
2.296584750E0,-2.005828857E-1,2.900967407E-1,9.922416229E0
2.306605750E0,-2.619552612E-2,2.989283752E-1,9.700278168E0
2.316626750E0,2.609074402E-1,4.544549561E-1,9.792037354E0
2.326647750E0,6.468049622E-1,6.872209167E-1,1.009845016E1
2.336668750E0,4.938230896E-1,7.466473389E-1,1.032867142E1
2.346689750E0,3.251239014E-1,5.255570984E-1,1.029708710E1
2.356710750E0,2.210902405E-1,2.267784119E-1,9.962981873E0
2.366731750E0,4.954696655E-2,1.630110168E-1,9.792486420E0
2.376752750E0,2.589614868E-2,1.688488770E-1,9.743837585E0
2.386774750E0,9.280700684E-2,2.392025757E-1,9.711953888E0
2.396795750E0,1.576222229E-1,4.269122314E-1,9.629475403E0
2.406816750E0,1.249900818E-1,3.628454590E-1,9.606123962E0
2.416837750E0,-1.047821045E-3,3.338058472E-1,9.656269684E0
2.426858750E0,-5.089416504E-3,4.704716492E-1,9.673334198E0
2.436879750E0,5.538482666E-2,5.423222351E-1,9.691745911E0
2.446900750E0,1.878593445E-1,5.614823914E-1,9.862091675E0
2.456921750E0,1.275347900E-1,4.032614136E-1,9.998158722E0
2.466942750E0,4.340972900E-2,1.981878662E-1,9.978998566E0
2.476963750E0,-6.137237549E-3,1.573228455E-1,9.849218445E0
2.486984750E0,2.439926147E-2,1.562750244E-1,9.793384552E0
2.497006750E0,6.855743408E-2,6.047424316E-2,9.656718750E0
2.507027750E0,3.951782227E-2,1.194515991E-1,9.495653687E0
2.517048750E0,2.155517578E-2,2.691403198E-1,9.639803925E0
2.527069750E0,1.185534668E-1,2.095642090E-1,9.827064514E0
2.537090750E0,1.065783691E-1,1.163081360E-1,9.827064514E0
2.547111750E0,9.744735718E-2,9.984237671E-2,9.755064240E0
2.557132750E0,1.339714050E-1,1.957928467E-1,9.746531982E0
2.567153750E0,1.977388000E-1,2.594105530E-1,9.838590546E0
2.577174750E0,1.850152588E-1,2.405497742E-1,9.849068756E0
2.587195750E0,2.043251038E-1,2.224374390E-1,9.858948212E0
2.597216750E0,2.210902405E-1,2.245330811E-1,9.872120819E0
2.607238750E0,2.821632385E-1,2.909948730E-1,9.842632141E0
2.617259750E0,3.600013733E-1,3.213816833E-1,9.825867004E0
2.627280750E0,3.751199341E-1,4.293072510E-1,9.852511597E0
2.637301750E0,4.354444885E-1,4.391867065E-1,9.956395569E0
2.647322750E0,4.819976807E-1,3.414399719E-1,1.011027557E1
2.657343750E0,4.954696655E-1,2.909948730E-1,1.019993912E1
2.667364750E0,4.617897034E-1,2.408491516E-1,1.016685791E1
2.677385750E0,4.354444885E-1,1.944456482E-1,1.005908203E1
2.687406750E0,4.077520752E-1,2.980302429E-1,9.898166656E0
2.697427750E0,3.641926575E-1,3.679348755E-1,9.733658752E0
2.707448750E0,3.213816833E-1,3.775149536E-1,9.653275909E0
2.717470750E0,2.318678284E-1,3.858975220E-1,9.533524933E0
2.727491750E0,1.996847534E-1,3.842509460E-1,9.499395905E0
2.737512750E0,1.862127686E-1,3.418890381E-1,9.556726685E0
2.747533750E0,1.923500061E-1,2.586621094E-1,9.637109528E0
2.757554750E0,1.851649475E-1,1.423539734E-1,9.851014709E0
2.767575750E0,1.782792664E-1,1.498384094E-1,1.023242157E1
2.777596750E0,3.535647583E-1,5.583389282E-2,1.004171814E1
2.787617750E0,3.113525391E-1,3.353027344E-2,9.725425873E0
2.797638750E0,4.071533203E-2,9.056167603E-2,9.767189026E0
2.807659750E0,1.121168518E-1,7.484436035E-2,9.642198944E0
2.817680750E0,9.325607300E-2,1.094224548E-1,9.717791748E0
2.827702750E0,1.010398865E-1,1.902543640E-1,9.857900391E0
2.837723750E0,1.496887207E-1,1.878593445E-1,9.924960938E0
2.847744750E0,1.960922241E-1,1.633103943E-1,9.993368683E0
2.857765750E0,1.146615601E-1,-6.361770630E-2,1.005369324E1
2.867786750E0,1.122665405E-2,-1.986369324E-1,9.929750977E0
2.877807750E0,1.796264648E-3,-1.947450256E-1,9.860894165E0
2.887828750E0,-1.526824951E-2,-1.261875916E-1,9.750274200E0
2.897849750E0,-2.350112915E-2,-3.188369751E-2,9.809101868E0
2.907870750E0,-2.850073242E-1,-3.432362366E-1,1.004171814E1
2.917891750E0,-2.859054565E-1,-2.619552612E-1,9.920470276E0
2.927912750E0,-2.031275940E-1,1.526824951E-2,9.894574127E0
2.937934750E0,-1.496887207E-1,1.014889526E-1,9.875413971E0
2.947955750E0,-9.550140381E-2,1.637594604E-1,9.735904083E0
2.957976750E0,-1.362167358E-2,1.779798889E-1,9.783505096E0
2.967997750E0,1.541793823E-2,1.550775146E-1,9.720785522E0
2.978018750E0,4.655319214E-2,2.163002014E-1,9.592202911E0
2.988039750E0,6.616241455E-2,2.421963501E-1,9.685309296E0
2.998060750E0,2.305206299E-2,1.380130005E-1,9.976603546E0
