"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.300587500E-1,9.459260820E-1,1.755185065E-1,-4.582580477E-2,-2.689182198E-1,3.785630661E1,2.089843265E1,4.414454704E-1,-3.165852651E1
7.400777500E-1,9.458942822E-1,1.756417808E-1,-4.592746824E-2,-2.689323179E-1,3.786753863E1,2.091546533E1,4.346753492E-1,-3.166230301E1
7.500967500E-1,9.458502388E-1,1.757628107E-1,-4.615271680E-2,-2.689697865E-1,3.788308994E1,2.093614904E1,4.149771876E-1,-3.167146808E1
7.601157500E-1,9.457992832E-1,1.758488324E-1,-4.647442370E-2,-2.690373479E-1,3.790107416E1,2.095595413E1,3.843918897E-1,-3.168624784E1
7.701347500E-1,9.457502664E-1,1.758568456E-1,-4.681304728E-2,-2.691455388E-1,3.791836637E1,2.096754412E1,3.503811766E-1,-3.170618882E1
7.801537500E-1,9.457154321E-1,1.757425275E-1,-4.710695306E-2,-2.692912194E-1,3.793065068E1,2.096400256E1,3.181246561E-1,-3.172960675E1
7.901727500E-1,9.456901650E-1,1.755578190E-1,-4.732032148E-2,-2.694631575E-1,3.793955867E1,2.095002039E1,2.928974828E-1,-3.175439120E1
8.001917500E-1,9.456736645E-1,1.753889418E-1,-4.744833727E-2,-2.696086273E-1,3.794537490E1,2.093511844E1,2.768232149E-1,-3.177423245E1
8.102107500E-1,9.456659095E-1,1.752419916E-1,-4.746503269E-2,-2.697284087E-1,3.794810815E1,2.091914504E1,2.729214807E-1,-3.178866330E1
8.202307500E-1,9.456656356E-1,1.751314298E-1,-4.739139161E-2,-2.698137350E-1,3.794820471E1,2.090438436E1,2.791982515E-1,-3.179710566E1
8.302497500E-1,9.456788064E-1,1.750235813E-1,-4.729415356E-2,-2.698545963E-1,3.794356253E1,2.088919099E1,2.871492227E-1,-3.179983548E1
8.402687500E-1,9.457025141E-1,1.749577532E-1,-4.722119209E-2,-2.698270112E-1,3.793520522E1,2.087949978E1,2.923389530E-1,-3.179505605E1
8.502877500E-1,9.457247254E-1,1.749288563E-1,-4.722791979E-2,-2.697668677E-1,3.792737375E1,2.087649310E1,2.893905421E-1,-3.178816057E1
8.603067500E-1,9.457428697E-1,1.749259956E-1,-4.732120657E-2,-2.696887906E-1,3.792097516E1,2.087916146E1,2.775288353E-1,-3.178101115E1
8.703257500E-1,9.457371377E-1,1.750102155E-1,-4.749062636E-2,-2.696243903E-1,3.792299666E1,2.089400626E1,2.605103231E-1,-3.177707740E1
8.803447500E-1,9.457180241E-1,1.751798987E-1,-4.769830496E-2,-2.695445430E-1,3.792973673E1,2.091965120E1,2.417475434E-1,-3.177214332E1
