"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.244194125E0,4.939727783E-2,3.652853851E0,9.079369354E0
2.254213125E0,8.876541138E-2,3.610791321E0,9.069340210E0
2.264232125E0,1.038839722E-1,3.635190582E0,9.076525269E0
2.274251125E0,1.080752563E-1,3.640429688E0,9.121431885E0
2.284270125E0,1.055305481E-1,3.617527313E0,9.191336517E0
2.294289125E0,1.115180969E-1,3.610192566E0,9.212592316E0
2.304308125E0,8.322692871E-2,3.623215485E0,9.248517609E0
2.314327125E0,4.879852295E-2,3.611839142E0,9.286388855E0
2.324346125E0,7.813751221E-2,3.566184082E0,9.257049866E0
2.334365125E0,8.891510010E-2,3.562890930E0,9.242230682E0
2.344385125E0,1.032852173E-1,3.559298401E0,9.214238892E0
2.354404125E0,9.565109253E-2,3.533102875E0,9.174870758E0
2.364423125E0,7.888595581E-2,3.553460541E0,9.195378113E0
2.374442125E0,8.547225952E-2,3.622017975E0,9.189091187E0
2.384461125E0,1.255888367E-1,3.579207001E0,9.192534027E0
2.394480125E0,1.552272034E-1,3.527414703E0,9.161398773E0
2.404499125E0,1.028361511E-1,3.527863770E0,9.155411224E0
2.414518125E0,6.002517700E-2,3.557502136E0,9.176068268E0
2.424537125E0,6.706054688E-2,3.640429688E0,9.207802277E0
2.434556125E0,7.454498291E-2,3.667972412E0,9.228758698E0
2.444575125E0,9.235794067E-2,3.659589844E0,9.238937531E0
2.454595125E0,1.076261902E-1,3.608246613E0,9.222322083E0
2.464614125E0,9.849517822E-2,3.562741241E0,9.208101654E0
2.474633125E0,6.242019653E-2,3.569028168E0,9.181606750E0
2.484652125E0,4.116439819E-2,3.568429413E0,9.148525543E0
2.494671125E0,5.673202515E-2,3.547173615E0,9.139843597E0
2.504690125E0,1.026864624E-1,3.550317078E0,9.135352936E0
2.514709125E0,8.831634521E-2,3.594325562E0,9.140292664E0
2.524728125E0,8.128097534E-2,3.598666534E0,9.185199280E0
2.534747125E0,6.765930176E-2,3.568429413E0,9.237740021E0
2.544766125E0,3.697311401E-2,3.534001007E0,9.279652863E0
2.554785125E0,1.691482544E-2,3.542084198E0,9.296717377E0
2.564804125E0,3.622467041E-2,3.521576843E0,9.282047882E0
2.574824125E0,7.993377686E-2,3.529210968E0,9.252110138E0
2.584843125E0,9.460327148E-2,3.532354431E0,9.218430176E0
2.594862125E0,9.580078125E-2,3.539988556E0,9.180409241E0
2.604881125E0,7.544311523E-2,3.550466766E0,9.185947723E0
2.614900125E0,5.628295898E-2,3.597019958E0,9.158704376E0
2.624919125E0,6.271957397E-2,3.601959686E0,9.126670990E0
2.634938125E0,6.466552734E-2,3.608545990E0,9.114995270E0
2.644957125E0,8.756790161E-2,3.578308868E0,9.121731262E0
2.654976125E0,8.008346558E-2,3.584146729E0,9.154812469E0
2.664995125E0,8.442443848E-2,3.595822449E0,9.192384338E0
2.675014125E0,9.340576172E-2,3.585194550E0,9.200317841E0
2.685033125E0,8.756790161E-2,3.583997040E0,9.217532043E0
2.695052125E0,7.963439941E-2,3.587888947E0,9.229058075E0
2.705072125E0,7.035369873E-2,3.565435638E0,9.256301422E0
2.715091125E0,6.092330933E-2,3.546724548E0,9.248068542E0
2.725110125E0,6.691085815E-2,3.511996765E0,9.270372162E0
2.735129125E0,5.269042969E-2,3.489094391E0,9.255852356E0
2.745148125E0,4.939727783E-2,3.447929993E0,9.189390564E0
2.755167125E0,5.149291992E-2,3.417692871E0,9.144184570E0
2.765186125E0,4.670288086E-2,3.470532990E0,9.132808228E0
2.775205125E0,4.430786133E-2,3.525169373E0,9.155261536E0
2.785224125E0,6.062393188E-2,3.581302643E0,9.191037140E0
2.795243125E0,4.685256958E-2,3.595223694E0,9.205556946E0
2.805262125E0,4.266128540E-2,3.579506378E0,9.249565430E0
2.815282125E0,5.358856201E-2,3.593277740E0,9.268426208E0
2.825301125E0,6.706054688E-2,3.582051086E0,9.260193329E0
2.835320125E0,6.152206421E-2,3.575315094E0,9.233698425E0
2.845339125E0,6.691085815E-2,3.564387817E0,9.219028931E0
2.855358125E0,8.607101440E-2,3.575165405E0,9.177265778E0
2.865377125E0,1.219963074E-1,3.583847351E0,9.155111847E0
2.875396125E0,1.573228455E-1,3.571423187E0,9.145980835E0
2.885415125E0,1.543290710E-1,3.557202759E0,9.141789551E0
2.895434125E0,1.353186035E-1,3.558250580E0,9.167086945E0
2.905453125E0,1.089733887E-1,3.554957428E0,9.197623444E0
2.915472125E0,8.861572266E-2,3.539539490E0,9.245523834E0
2.925491125E0,9.535171509E-2,3.532055054E0,9.282796326E0
2.935511125E0,1.139131165E-1,3.503015442E0,9.282047882E0
2.945530125E0,1.321751404E-1,3.477268982E0,9.291178894E0
2.955549125E0,1.460961914E-1,3.492237854E0,9.293424225E0
2.965568125E0,1.243913269E-1,3.505709839E0,9.274413757E0
2.975587125E0,8.861572266E-2,3.526965637E0,9.260343018E0
2.985606125E0,5.807922363E-2,3.530109100E0,9.162895660E0
2.995625125E0,4.760101318E-2,3.513793030E0,9.104217682E0
3.005644125E0,3.263214111E-2,3.517834625E0,9.078770599E0
3.015663125E0,3.053649902E-2,3.532653809E0,9.060658264E0
3.025682125E0,4.565505981E-2,3.562890930E0,9.071136475E0
3.035701125E0,5.179229736E-2,3.606300659E0,9.126072235E0
3.045720125E0,4.805007935E-2,3.657344513E0,9.196126556E0
3.055740125E0,5.792953491E-2,3.673510895E0,9.240434418E0
3.065759125E0,6.840774536E-2,3.651057587E0,9.284143524E0
3.075778125E0,6.631210327E-2,3.628304901E0,9.304351501E0
3.085796750E0,8.607101440E-2,3.573967896E0,9.266031189E0
3.095815750E0,1.008901978E-1,3.540138245E0,9.227261810E0
3.105834750E0,9.804611206E-2,3.531605988E0,9.220376129E0
3.115853750E0,9.175918579E-2,3.492537231E0,9.209299164E0
3.125872750E0,9.205856323E-2,3.494632874E0,9.173523560E0
3.135891750E0,1.119671631E-1,3.503913574E0,9.126521301E0
3.145910750E0,1.336720276E-1,3.501518555E0,9.111402740E0
3.155929750E0,1.592687988E-1,3.494034119E0,9.144633636E0
3.165948750E0,1.791773987E-1,3.502266998E0,9.170080719E0
3.175968750E0,1.863624573E-1,3.510350189E0,9.205107880E0
3.185987750E0,1.924996948E-1,3.520229645E0,9.230255585E0
3.196006750E0,1.917512512E-1,3.516936493E0,9.231902161E0
3.206025750E0,1.586700439E-1,3.540287933E0,9.214238892E0
3.216044750E0,1.535806274E-1,3.562741241E0,9.193132782E0
3.226063750E0,1.701960754E-1,3.571123810E0,9.175319824E0
3.236082750E0,1.877096558E-1,3.601510620E0,9.161548462E0
3.246101750E0,1.770817566E-1,3.628005524E0,9.159602509E0
3.256120750E0,1.360670471E-1,3.624113617E0,9.210197296E0
3.266139750E0,1.148112488E-1,3.616479492E0,9.232051849E0
3.276158750E0,8.771759033E-2,3.602558441E0,9.214687958E0
3.286177750E0,6.810836792E-2,3.579506378E0,9.225315857E0
3.296197750E0,4.490661621E-2,3.570974121E0,9.197473755E0
3.306216750E0,2.544708252E-2,3.564088440E0,9.193132782E0
3.316235750E0,1.137634277E-2,3.575614471E0,9.177714844E0
3.326254750E0,1.631607056E-2,3.566184082E0,9.186845856E0
3.336273750E0,-1.242416382E-2,3.560645599E0,9.192983093E0
3.346292750E0,-2.050735474E-2,3.559597778E0,9.169032898E0
3.356311750E0,-1.152603149E-2,3.524869995E0,9.150621185E0
3.366330750E0,-1.796264648E-2,3.507955170E0,9.150321808E0
3.376349750E0,-3.218307495E-2,3.503913574E0,9.164542236E0
3.386368750E0,-2.005828857E-2,3.533252563E0,9.186845856E0
3.396387750E0,2.395019531E-3,3.543581085E0,9.228459320E0
3.406406750E0,2.409988403E-2,3.533252563E0,9.251062317E0
3.416426750E0,2.439926147E-2,3.550167389E0,9.265881500E0
3.426445750E0,6.137237549E-2,3.562142487E0,9.272467804E0
3.436464750E0,8.592132568E-2,3.547622681E0,9.263187103E0
3.446483750E0,1.064286804E-1,3.535497894E0,9.238039398E0
3.456502750E0,1.199006653E-1,3.500770111E0,9.180259552E0
3.466521750E0,1.323248291E-1,3.469485168E0,9.122629395E0
3.476540750E0,1.422042847E-1,3.463497620E0,9.091643829E0
3.486559750E0,1.450483704E-1,3.472778320E0,9.110354919E0
3.496578750E0,1.471440125E-1,3.491489410E0,9.143436127E0
3.506597750E0,1.561253357E-1,3.538641357E0,9.186396790E0
3.516616750E0,1.571731567E-1,3.593128052E0,9.269773407E0
3.526635750E0,1.516346741E-1,3.606150970E0,9.341324615E0
3.536655750E0,1.414558411E-1,3.603306885E0,9.386530609E0
3.546674750E0,1.290316772E-1,3.543880463E0,9.405241699E0
3.556693750E0,1.167572021E-1,3.490441589E0,9.349108429E0
3.566712750E0,1.080752563E-1,3.459006958E0,9.255403290E0
3.576731750E0,8.622070312E-2,3.448528748E0,9.169631653E0
3.586750750E0,7.229965210E-2,3.456911316E0,9.114396515E0
3.596769750E0,7.544311523E-2,3.468587036E0,9.094637604E0
3.606788750E0,6.721023560E-2,3.509152679E0,9.090596008E0
3.616807750E0,5.733078003E-2,3.537892914E0,9.123976593E0
3.626826750E0,5.074447632E-2,3.558400269E0,9.183403015E0
3.636845750E0,5.463638306E-2,3.553310852E0,9.231303406E0
3.646864750E0,6.017486572E-2,3.532354431E0,9.271569672E0
3.656884750E0,6.361770630E-2,3.504212952E0,9.296717377E0
3.666903750E0,7.559280396E-2,3.493285675E0,9.315877533E0
3.676922750E0,7.798782349E-2,3.495231628E0,9.282796326E0
3.686941750E0,8.666976929E-2,3.490740967E0,9.254355469E0
3.696960750E0,7.873626709E-2,3.497776337E0,9.217532043E0
3.706979750E0,7.424560547E-2,3.476520538E0,9.174122314E0
3.716998750E0,9.131011963E-2,3.461851044E0,9.153914337E0
3.727017750E0,1.230441284E-1,3.448528748E0,9.157207489E0
3.737036750E0,1.302291870E-1,3.472928009E0,9.183403015E0
3.747055750E0,1.489402771E-1,3.476670227E0,9.238638153E0
3.757074750E0,1.734892273E-1,3.480113068E0,9.285490723E0
3.767093750E0,1.856140137E-1,3.490890656E0,9.304351501E0
3.777113750E0,2.100132751E-1,3.477568359E0,9.312434692E0
3.787132750E0,2.002835083E-1,3.459456024E0,9.311985626E0
3.797151750E0,1.812730408E-1,3.464695129E0,9.303902435E0
3.807170750E0,1.788780212E-1,3.476819916E0,9.284293213E0
3.817189750E0,1.672023010E-1,3.469784546E0,9.228609009E0
3.827208750E0,1.526824951E-1,3.470233612E0,9.222322083E0
3.837227750E0,1.450483704E-1,3.452570343E0,9.200018463E0
3.847246750E0,1.354682922E-1,3.473975830E0,9.198671265E0
3.857265750E0,1.098715210E-1,3.487896881E0,9.198371887E0
3.867284750E0,1.076261902E-1,3.505260773E0,9.195677490E0
3.877303750E0,9.624984741E-2,3.500770111E0,9.210496674E0
3.887323750E0,5.777984619E-2,3.506757660E0,9.225016479E0
3.897342750E0,3.562591553E-2,3.529959412E0,9.259444885E0
3.907361750E0,4.849914551E-2,3.510200500E0,9.256750488E0
3.917380750E0,6.990463257E-2,3.488046570E0,9.277108154E0
3.927399750E0,6.721023560E-2,3.481460266E0,9.310638428E0
3.937418750E0,5.134323120E-2,3.482807465E0,9.332642670E0
3.947437750E0,8.128097534E-2,3.473077698E0,9.316027222E0
3.957456750E0,1.142124939E-1,3.450474701E0,9.282796326E0
3.967475750E0,1.245410156E-1,3.426823883E0,9.245673523E0
3.977494750E0,1.282832336E-1,3.432811432E0,9.201964417E0
3.987513750E0,1.420545959E-1,3.439397736E0,9.194030914E0
3.997532750E0,1.520837402E-1,3.460653534E0,9.185648346E0
4.007552750E0,1.558259583E-1,3.459306335E0,9.165440369E0
4.017571750E0,1.333726501E-1,3.479813690E0,9.201215973E0
4.027590750E0,1.157093811E-1,3.509452057E0,9.187743988E0
4.037609750E0,1.181044006E-1,3.531605988E0,9.229357452E0
4.047628750E0,1.197509766E-1,3.548221436E0,9.280550995E0
4.057647750E0,1.209484863E-1,3.619922333E0,9.316326599E0
4.067666750E0,8.038284302E-2,3.605701904E0,9.424252167E0
4.077685750E0,1.568737793E-1,3.628604279E0,9.290879517E0
4.087705125E0,2.080673218E-1,3.558400269E0,9.205407257E0
4.097724125E0,2.562670898E-1,3.545826416E0,9.176816711E0
4.107743125E0,1.947450256E-1,3.471580811E0,9.037157135E0
4.117762125E0,1.649569702E-1,3.446433105E0,8.937165070E0
4.127782125E0,1.868115234E-1,3.475323029E0,9.080566864E0
4.137801125E0,1.413061523E-1,3.464545441E0,9.167086945E0
